id;produto;categoria;variante_index;variacao;preco
8;Microaspersor Itoman;Microaspersores;5;Modelo A006 — 100L/h a 20m.c.a (pacote 200un);128,00
8;Microaspersor Itoman;Microaspersores;6;Modelo A007 — 130L/h a 20m.c.a (pacote 200un);138,00
8;Microaspersor Itoman;Microaspersores;7;Modelo A008 — 170L/h a 20m.c.a (pacote 200un);150,00
9;Conector 4mm para Micro-tubo;Acessórios para Microaspersão;0;Pacote com 500un;48,00
9;Conector 4mm para Micro-tubo;Acessórios para Microaspersão;1;Caixa com 5000un;430,00
10;Estaca para Microaspersor;Acessórios para Microaspersão;0;30cm — pacote com 200un;135,00
10;Estaca para Microaspersor;Acessórios para Microaspersão;1;60cm — pacote com 200un;185,00
11;Micro-tubo para Microaspersor;Acessórios para Microaspersão;0;60cm com conector — pacote 200un;95,00
11;Micro-tubo para Microaspersor;Acessórios para Microaspersão;1;100cm com conector — pacote 200un;135,00
11;Micro-tubo para Microaspersor;Acessórios para Microaspersão;2;4mm em rolo com 400m;220,00
12;Manômetro com Glicerina;Equipamentos de Aferição;0;Escala 20 m.c.a.;36,00
12;Manômetro com Glicerina;Equipamentos de Aferição;1;Escala 60 m.c.a.;39,00
12;Manômetro com Glicerina;Equipamentos de Aferição;2;Escala 100 m.c.a.;45,00
13;Flexível para Manômetro com Trava;Equipamentos de Aferição;0;Unidade avulsa;24,00
13;Flexível para Manômetro com Trava;Equipamentos de Aferição;1;Pacote com 10 un;220,80
13;Flexível para Manômetro com Trava;Equipamentos de Aferição;2;Caixa com 20 un;408,00
14;Válvula para Checar Pressão;Equipamentos de Aferição;0;Unidade avulsa;15,00
14;Válvula para Checar Pressão;Equipamentos de Aferição;1;Pacote com 10 un;138,00
14;Válvula para Checar Pressão;Equipamentos de Aferição;2;Caixa com 100 un;1275,00
15;Válvula para Checar Pressão no Final de Linha;Equipamentos de Aferição;0;Unidade avulsa;19,00
15;Válvula para Checar Pressão no Final de Linha;Equipamentos de Aferição;1;Pacote com 10 un;174,80
15;Válvula para Checar Pressão no Final de Linha;Equipamentos de Aferição;2;Caixa com 100 un;1615,00
16;Inicial com Porca (Passagem Reduzida/Plena);Conexões;0;Unidade avulsa;1,20
16;Inicial com Porca (Passagem Reduzida/Plena);Conexões;1;Pacote com 100 un;110,40
16;Inicial com Porca (Passagem Reduzida/Plena);Conexões;2;Caixa com 600 un;612,00
17;Inicial com Redutor de Pressão com Porca;Conexões;0;Unidade avulsa;2,80
17;Inicial com Redutor de Pressão com Porca;Conexões;1;Pacote com 50 un;128,80
17;Inicial com Redutor de Pressão com Porca;Conexões;2;Caixa com 200 un;476,00
18;União com Porca;Conexões;0;Unidade avulsa;1,50
18;União com Porca;Conexões;1;Pacote com 100 un;138,00
18;União com Porca;Conexões;2;Caixa com 400 un;510,00
19;Tampão Final com Porca;Conexões;0;Unidade avulsa;1,10
19;Tampão Final com Porca;Conexões;1;Pacote com 100 un;101,20
19;Tampão Final com Porca;Conexões;2;Caixa com 600 un;561,00
20;Válvula de Descarga com Porca;Conexões;0;Unidade avulsa;3,20
20;Válvula de Descarga com Porca;Conexões;1;Pacote com 50 un;147,20
20;Válvula de Descarga com Porca;Conexões;2;Caixa com 200 un;544,00
21;Inicial com Anel e Passagem Reduzida;Conexões;0;Unidade avulsa;0,90
21;Inicial com Anel e Passagem Reduzida;Conexões;1;Pacote com 100 un;82,80
21;Inicial com Anel e Passagem Reduzida;Conexões;2;Caixa com 600 un;459,00
22;Inicial com Anel e Passagem Plena;Conexões;0;Unidade avulsa;0,95
22;Inicial com Anel e Passagem Plena;Conexões;1;Pacote com 100 un;87,40
22;Inicial com Anel e Passagem Plena;Conexões;2;Caixa com 600 un;484,50
23;União com Anel;Conexões;0;Unidade avulsa;1,30
23;União com Anel;Conexões;1;Pacote com 100 un;119,60
23;União com Anel;Conexões;2;Caixa com 600 un;663,00
24;Inicial/União com Registro e Porca;Conexões;0;Unidade avulsa;6,50
24;Inicial/União com Registro e Porca;Conexões;1;Pacote com 50 un;299,00
24;Inicial/União com Registro e Porca;Conexões;2;Caixa com 200 un;1105,00
25;Inicial com Registro e Anel;Conexões;0;Unidade avulsa;6,80
25;Inicial com Registro e Anel;Conexões;1;Pacote com 50 un;312,80
25;Inicial com Registro e Anel;Conexões;2;Caixa com 200 un;1156,00
26;Anel Vedante;Conexões;0;Unidade avulsa;0,35
26;Anel Vedante;Conexões;1;Pacote com 100 un;32,20
26;Anel Vedante;Conexões;2;Caixa com 5000 un;1487,50
27;Tampão para Anel Vedante;Conexões;0;Unidade avulsa;0,55
27;Tampão para Anel Vedante;Conexões;1;Pacote com 100 un;50,60
27;Tampão para Anel Vedante;Conexões;2;Caixa com 5000 un;2337,50
28;Válvula de Ar Cinética;Válvulas, Filtros e Instalação;0;3/4";27,00
28;Válvula de Ar Cinética;Válvulas, Filtros e Instalação;1;1";32,00
29;Filtro de Discos;Válvulas, Filtros e Instalação;0;1.1/2" — 15m³/h;168,00
29;Filtro de Discos;Válvulas, Filtros e Instalação;1;2" — 15m³/h;198,00
30;Broca Especial para Instalação;Válvulas, Filtros e Instalação;0;14mm;46,00
30;Broca Especial para Instalação;Válvulas, Filtros e Instalação;1;17mm;49,00
31;Injetor Venturi;Injetores;0;3/4" (Q: 1.131 L/h);98,00
31;Injetor Venturi;Injetores;1;1" (Q: 3.085 L/h);145,00
31;Injetor Venturi;Injetores;2;1.1/2" (Q: 5.813 L/h);265,00
31;Injetor Venturi;Injetores;3;2" (Q: 18.774 L/h);495,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;0;Bocal 2400;18,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;1;Bocal 2420;18,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;2;Bocal 2600;18,50
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;3;Bocal 2624;18,50
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;4;Bocal 2800;19,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;5;Bocal 2824;19,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;6;Bocal 3026;19,50
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;7;Bocal 3226;20,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;8;Bocal 3426;20,50
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;9;Bocal 3600;21,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;10;Bocal 3628;21,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;11;Bocal 4032;22,00
32;Mini Aspersor TIGRE Pingo 360;Aspersores TIGRE;12;Sem Bocal;16,50
33;Mini Aspersor TIGRE Pingo 360 Sem Parafuso;Aspersores TIGRE;0;Bocal 2420E;19,00
33;Mini Aspersor TIGRE Pingo 360 Sem Parafuso;Aspersores TIGRE;1;Bocal 2424E;19,00
33;Mini Aspersor TIGRE Pingo 360 Sem Parafuso;Aspersores TIGRE;2;Bocal 2620E;19,50
33;Mini Aspersor TIGRE Pingo 360 Sem Parafuso;Aspersores TIGRE;3;Bocal 2624E;19,50
33;Mini Aspersor TIGRE Pingo 360 Sem Parafuso;Aspersores TIGRE;4;Bocal 2820E;20,00
33;Mini Aspersor TIGRE Pingo 360 Sem Parafuso;Aspersores TIGRE;5;Bocal 2824E;20,00
33;Mini Aspersor TIGRE Pingo 360 Sem Parafuso;Aspersores TIGRE;6;Bocal 3020E;20,50
34;Mini Aspersor TIGRE Pingo Setorial;Aspersores TIGRE;0;Bocal 3,0;22,00
34;Mini Aspersor TIGRE Pingo Setorial;Aspersores TIGRE;1;Bocal 3,2;22,50
34;Mini Aspersor TIGRE Pingo Setorial;Aspersores TIGRE;2;Bocal 3,4;22,50
34;Mini Aspersor TIGRE Pingo Setorial;Aspersores TIGRE;3;Bocal 3,6;23,00
34;Mini Aspersor TIGRE Pingo Setorial;Aspersores TIGRE;4;Bocal 3,8;23,00
34;Mini Aspersor TIGRE Pingo Setorial;Aspersores TIGRE;5;Bocal 4,0;23,50
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;0;3/4" F 3626;48,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;1;1" F 3626;49,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;2;3/4" F 4028;50,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;3;1" F 4028;51,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;4;3/4" F 4432;52,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;5;1" F 4432;53,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;6;3/4" F 4832;54,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;7;1" F 4832;55,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;8;1" F 5232;57,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;9;3/4" F 5632;58,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;10;1" F 5632;59,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;11;3/4" Sem Bocal;44,00
35;Aspersor TIGRE MIDI 360;Aspersores TIGRE;12;1" F Sem Bocal;45,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;0;3/4" F 3,6;50,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;1;1" F 3,6;51,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;2;1" F 4,4;52,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;3;1" F 5,2;54,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;4;1" F 6,0;56,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;5;1" F 7,2;58,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;6;3/4" F Sem Bocal;46,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;7;1" F Sem Bocal;47,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;8;3/4" F 4,4;52,00
36;Aspersor TIGRE MIDI Setorial;Aspersores TIGRE;9;3/4" F 7,2;58,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;0;Bocal 4028;62,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;1;Bocal 4230;63,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;2;Bocal 4432;64,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;3;Bocal 4832;66,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;4;Bocal 5232;68,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;5;Bocal 5632;70,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;6;Bocal 5836;71,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;7;Bocal 6432;74,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;8;Bocal 6640;76,00
37;Aspersor TIGRE ECO;Aspersores TIGRE;9;Sem Bocal;58,00
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;0;Bitola 2,4mm;3,20
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;1;Bitola 2,6mm;3,20
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;2;Bitola 2,8mm;3,30
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;3;Bitola 3,0mm;3,30
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;4;Bitola 3,2mm;3,40
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;5;Bitola 3,4mm;3,40
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;6;Bitola 3,6mm;3,50
38;Bocal TIGRE Pingo (avulso);Acessórios para Aspersão;7;Bitola 3,8mm;3,50
